Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	2.969	Others	2.8
Others	0.0	Others	1.5
Others	3.615	Others	3.556
Others	3.8	Others	3.769
Others	0.0	Others	2.267
Others	0.0	Others	3.571
Others	3.464	Others	3.432
Others	3.4	Others	3.483
Others	0.0	Others	2.25
Others	2.875	Others	2.75
Others	3.0	Others	3.0
Others	0.0	Others	2.417
Others	2.333	Others	2.308
Others	0.0	Others	4.0
Others	0.0	Others	3.7
Others	2.0	Others	2.4
Others	0.0	Others	0.444
Others	3.417	Others	3.37
Others	0.0	Others	3.357
Others	0.0	Others	2.5
Others	0.0	Others	2.625
Others	0.0	Others	2.364
Others	0.0	Others	3.357
Others	3.0	Others	2.857
Others	0.0	Others	3.571
Others	0.0	Others	3.786
Others	2.909	Others	2.667
Others	3.548	Others	3.457
Others	3.39	Others	3.377
Others	3.4	Others	3.449
Others	2.346	Others	2.553
MATH-BS	2.767	Others	2.886
Others	2.571	Others	2.32
Others	0.0	Others	2.533
Others	4.0	Others	3.375
Others	0.0	Others	2.357
Others	0.0	Others	2.125
Others	3.0	Others	3.0
Others	2.536	Others	2.662
Others	3.721	Others	3.793
Others	1.931	Others	2.184
Others	0.0	Others	4.0
Others	0.0	Others	0.944
Others	0.0	Others	0.357
Others	3.327	Others	3.363
Others	3.523	Others	3.53
BIOL-BS	3.099	Others	3.123
Others	3.1	Others	3.379
Others	3.455	Others	2.826
Others	3.354	Others	3.436
Others	0.0	Others	2.583
BIOL-BS	2.686	Others	2.774
CHEM-BS	3.647	Others	3.565
BIOL-BS	0.0	Others	3.6
IT-BS	2.0	Others	2.278
Others	4.0	Others	3.48
Others	3.333	Others	3.682
Others	3.75	Others	3.889
BIOL-BS	0.0	Others	2.867
Others	2.321	Others	2.39
BIOL-BS	0.0	Others	2.091
Others	2.875	Others	1.722
Others	0.0	Others	3.182
BIOL-BS	0.0	Others	4.0
BIOL-BS	0.0	Others	2.636
Others	0.0	Others	3.733
BIOL-BS	0.0	Others	2.364
Others	0.0	Others	3.455
BIOL-BS	3.844	Others	3.75
BIOL-BS	2.967	Others	2.814
BIOL-BS	3.0	Others	1.375
Others	0.0	Others	2.917
Others	2.786	Others	2.667
BIOL-BS	3.889	Others	3.925
Others	3.727	Others	3.467
BIOL-BS	0.0	Others	1.818
Others	2.0	Others	2.333
Others	0.0	Others	2.714
BIOL-BS	0.0	Others	3.385
Others	2.667	Others	3.0
BIOL-BS	0.0	Others	2.667
BIOL-BS	0.0	Others	2.364
BIOL-BS	0.0	Others	2.0
Others	0.0	Others	2.636
Others	0.0	Others	3.4
BIOL-BS	0.0	Others	2.583
Others	0.0	Others	3.143
BIOL-BS	0.0	Others	2.455
Others	0.0	Others	3.4
BIOL-BS	2.0	Others	2.929
BIOL-BS	0.0	Others	2.182
Others	2.0	Others	1.917
Others	1.611	Others	1.864
Others	2.778	Others	2.538
BIOL-BS	3.061	Others	2.766
Others	2.344	Others	2.384
Others	2.911	Others	2.882
Others	1.963	Others	2.2
CS-BS	2.737	Others	2.5
Others	3.452	Others	3.315
Others	2.87	Others	3.158
Others	2.868	Others	2.923
Others	0.0	Others	3.4
Others	0.0	Others	3.0
IT-BS	2.5	Others	2.95
CHEM-BS	2.333	Others	2.211
Others	0.0	Others	3.357
Others	2.03	PHYS-BS	2.038
Others	3.667	PHYS-BS	3.829
Others	0.0	PHYS-BS	3.357
Others	3.167	PHYS-BS	3.119
Others	0.0	PHYS-BS	4.0
Others	0.0	PHYS-BS	3.813
CS-BS	0.0	PHYS-BS	1.929
Others	4.0	Others	4.0
Others	3.133	Others	3.089
Others	2.406	Others	2.422
Others	3.2	Others	3.6
