Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	4.0	Others	3.478
Others	3.143	Others	3.444
Others	1.333	Others	0.667
Others	3.571	Others	3.444
Others	2.786	Others	3.037
BIOL-BS	2.5	Others	2.59
Others	3.1	Others	2.667
Others	3.222	Others	3.125
BIOL-BS	2.25	Others	2.429
Others	3.8	Others	3.548
Others	0.0	Others	2.909
Others	3.4	Others	3.364
CS-BS	2.786	Others	2.133
Others	2.091	IT-BS	1.391
Others	2.929	Others	2.963
Others	3.571	Others	3.069
Others	2.067	Others	1.517
Others	3.625	BIOL-BS	3.684
Others	0.214	Others	0.462
Others	1.875	Others	1.929
Others	3.48	Others	3.23
Others	2.933	Others	2.367
Others	2.0	Others	1.875
Others	2.273	Others	2.261
BIOL-BS	2.583	Others	2.593
Others	3.182	Others	2.781
Others	2.909	Others	2.8
CS-BS	2.714	Others	2.9
Others	3.25	Others	2.167
CS-BS	3.571	Others	3.143
Others	3.172	Others	3.172
Others	2.0	Others	1.0
Others	0.0	Others	0.625
Others	3.455	Others	3.25
Others	1.636	Others	2.0
Others	2.208	Others	2.262
Others	2.5	Others	1.217
Others	3.4	Others	2.556
Others	3.925	BIOL-BS	3.942
Others	3.467	Others	3.271
BIOL-BS	0.286	Others	0.333
Others	3.0	Others	3.214
Others	4.0	Others	3.8
Others	3.571	Others	3.625
Others	3.432	Others	3.564
Others	3.0	Others	3.0
Others	1.742	Others	1.905
Others	3.571	BIOL-BS	3.444
Others	2.182	Others	2.333
Others	0.5	Others	0.364
Others	2.545	Others	1.739
CS-BS	1.571	Others	1.769
Others	3.948	Others	3.921
Others	2.77	Others	2.878
Others	2.479	Others	2.41
Others	3.409	BIOL-BS	3.579
Others	3.143	Others	2.111
BIOL-BS	3.571	Others	3.4
Others	2.278	Others	2.241
PHYS-BS	1.333	Others	1.438
Others	2.8	Others	2.52
BIOL-BS	3.5	Others	3.077
BIOL-BS	3.25	CHEM-BS	2.8
CS-BS	3.192	Others	3.049
Others	2.0	Others	2.4
CHEM-BS	2.962	MATH-BS	2.439
Others	3.357	CHEM-BS	3.321
CHEM-BS	1.909	Others	1.111
Others	2.714	PHYS-BS	2.542
Others	2.929	Others	2.667
Others	2.722	Others	1.774
BIOL-BS	3.231	Others	3.103
Others	2.333	Others	1.556
Others	2.091	Others	2.409
Others	2.714	Others	2.7
Others	1.909	Others	1.292
Others	3.7	Others	3.222
Others	2.286	Others	2.241
BIOL-BS	2.182	Others	1.0
Others	2.1	Others	2.174
BIOL-BS	3.0	Others	2.935
Others	3.182	Others	3.25
Others	2.833	PHYS-BS	2.817
PHYS-BS	1.0	Others	0.471
Others	2.636	Others	2.846
Others	2.909	Others	2.792
BIOL-BS	2.636	Others	1.857
Others	3.429	BIOL-BS	3.6
Others	2.909	Others	2.556
Others	3.917	Others	3.878
Others	3.727	Others	3.294
Others	2.833	Others	1.762
Others	1.727	Others	1.762
Others	2.647	Others	2.379
Others	1.8	Others	1.393
Others	3.4	Others	3.531
Others	1.5	Others	1.926
Others	2.214	Others	2.033
Others	2.077	Others	1.5
Others	3.333	IT-BS	3.484
Others	2.625	Others	2.167
